DRG Definition	Provider Id	Provider Name	Provider Street Address	Provider City	Provider State	Provider Zip Code	Hospital Referral Region Description	 Total Discharges 	 Average Covered Charges    Average Total Payments 	Average Medicare Payments
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC	10001	SOUTHEAST ALABAMA MEDICAL CENTER	1108 ROSS CLARK CIRCLE	DOTHAN	AL	36301	AL - Dothan	91	$32,963.07 	$5,777.24 	$4,763.73 
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC	10005	MARSHALL MEDICAL CENTER SOUTH	2505 U S HIGHWAY 431 NORTH	BOAZ	AL	35957	AL - Birmingham	14	$15,131.85 	$5,787.57 	$4,976.71 
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC	10006	ELIZA COFFEE MEMORIAL HOSPITAL	205 MARENGO STREET	FLORENCE	AL	35631	AL - Birmingham	24	$37,560.37 	$5,434.95 	$4,453.79 
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC	10011	ST VINCENT'S EAST	50 MEDICAL PARK EAST DRIVE	BIRMINGHAM	AL	35235	AL - Birmingham	25	$13,998.28 	$5,417.56 	$4,129.16 
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC	10016	SHELBY BAPTIST MEDICAL CENTER	1000 FIRST STREET NORTH	ALABASTER	AL	35007	AL - Birmingham	18	$31,633.27 	$5,658.33 	$4,851.44 
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC	10023	BAPTIST MEDICAL CENTER SOUTH	2105 EAST SOUTH BOULEVARD	MONTGOMERY	AL	36116	AL - Montgomery	67	$16,920.79 	$6,653.80 	$5,374.14 
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC	10029	EAST ALABAMA MEDICAL CENTER AND SNF	2000 PEPPERELL PARKWAY	OPELIKA	AL	36801	AL - Birmingham	51	$11,977.13 	$5,834.74 	$4,761.41 
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC	10033	UNIVERSITY OF ALABAMA HOSPITAL	619 SOUTH 19TH STREET	BIRMINGHAM	AL	35233	AL - Birmingham	32	$35,841.09 	$8,031.12 	$5,858.50 
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC	10039	HUNTSVILLE HOSPITAL	101 SIVLEY RD	HUNTSVILLE	AL	35801	AL - Huntsville	135	$28,523.39 	$6,113.38 	$5,228.40 
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC	10040	GADSDEN REGIONAL MEDICAL CENTER	1007 GOODYEAR AVENUE	GADSDEN	AL	35903	AL - Birmingham	34	$75,233.38 	$5,541.05 	$4,386.94 
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC	10046	RIVERVIEW REGIONAL MEDICAL CENTER	600 SOUTH THIRD STREET	GADSDEN	AL	35901	AL - Birmingham	14	$67,327.92 	$5,461.57 	$4,493.57 
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC	10055	FLOWERS HOSPITAL	4370 WEST MAIN STREET	DOTHAN	AL	36305	AL - Dothan	45	$39,607.28 	$5,356.28 	$4,408.20 
